"area","check","outcome","expected","observed","source","note"
"simulation results","robustness years","Pass","2024-2050","2024-2050","output/candidate-performance-500/robustness/performance_with_vb.rds",""
"simulation results","robustness statistics","Pass","C, FMSY, IACC, SBMSY, VB2025, VBMSY","C, FMSY, IACC, SBMSY, VB2025, VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds",""
"simulation results","robustness operating models","Pass","om11_1, om11_2, om11_3, om12, om13, om21, om21_1, om22, om23","om11_1, om11_2, om11_3, om12, om13, om21, om21_1, om22, om23","output/candidate-performance-500/robustness/performance_with_vb.rds",""
"simulation results","published run list candidate membership","Pass","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","tun29, tun32, tun43, tun44, tun45, tun46, tun47, tun48","release/sc14-run-index.csv",""
"simulation results","published run list draw count","Pass","500","500","release/sc14-run-index.csv",""
"simulation results","published run and stock combinations","Pass","112","112","release/sc14-run-index.csv","Two-stock operating models have one row for each stock component."
"Slick file","Slick structural check","Pass","Slick::Check completes","complete","output/jm_candidates_500.slick",""
"Slick file","CMP codes and labels","Pass","tun29=HS+20, tun43=HS-20, tun45=HSsym, tun47=HS-30, tun32=PR+20, tun44=PR-20, tun46=PRsym, tun48=PR-30","tun29=HS+20, tun43=HS-20, tun45=HSsym, tun47=HS-30, tun32=PR+20, tun44=PR-20, tun46=PRsym, tun48=PR-30","output/jm_candidates_500.slick",""
"Slick file","operating-model and stock rows","Pass","14 rows including om23 North and Southern","14 rows","output/jm_candidates_500.slick",""
"Slick file","future numerical values agree with result files","Pass","no differences","0 differences; maximum absolute difference 0e+00","output/candidate-performance-500/reference/performance_with_vb.rds; output/candidate-performance-500/robustness/performance_with_vb.rds; output/jm_candidates_500.slick",""
"tuning","reported tuning probabilities recalculate from Slick","Pass","0.6098, 0.5918, 0.6042, 0.6038, 0.6026, 0.5984, 0.5954, 0.6056","0.6098, 0.5918, 0.6042, 0.6038, 0.6026, 0.5984, 0.5954, 0.6056","../jmMSE-500-refine/output/tune/tuning_500_from_100_summary.csv; output/jm_candidates_500.slick","maximum absolute difference 9.992007e-16"
"public summaries","CMP membership in figure and scorecard tables","Pass","the same eight CMPs in all six tables","all agree","doc/data/candidates/candidate_quilt_reference_summary.csv; doc/data/candidates/candidate_scorecard_input_reference.csv; doc/data/candidates/candidate_scorecard_result_reference.csv; doc/data/candidates/kobe_reference_periods_summary.csv; doc/data/candidates/vb_reference_summary.csv; doc/data/candidates/vb_robustness_summary.csv",""
"public summaries","scorecard inputs agree with the figure summary","Pass","identical numerical inputs","maximum absolute difference 0e+00","doc/data/candidates/candidate_quilt_reference_summary.csv; doc/data/candidates/candidate_scorecard_input_reference.csv",""
"public summaries","Kobe figure table agrees with the Slick file","Pass","identical period summaries","maximum absolute difference 4.218847e-15","doc/data/candidates/kobe_reference_periods_summary.csv; output/jm_candidates_500.slick",""
"public pages","individual CMP pages use the refined triggers","Pass","current triggers and no earlier trigger values","all agree","doc/cmp/mp29.qmd; doc/cmp/mp32.qmd; doc/cmp/mp43.qmd; doc/cmp/mp44.qmd",""
"published files","all listed files exist","Pass","all present","all present","release/sc14-file-list.csv",""
"published files","listed files match the accepted baseline","Pass","all fingerprints agree","all agree","release/sc14-file-list.csv",""
"published files","published output docs/sc14/index.html","Pass","file exists","present","docs/sc14/index.html",""
"published files","published output docs/sc14/index.pdf","Pass","file exists","present","docs/sc14/index.pdf",""
"published files","published output docs/sc14/decision-paper.html","Pass","file exists","present","docs/sc14/decision-paper.html",""
"published files","published output docs/sc14/decision-paper.pdf","Pass","file exists","present","docs/sc14/decision-paper.pdf",""
"published files","published output docs/evidence/sc14-mse-report.html","Pass","file exists","present","docs/evidence/sc14-mse-report.html",""
"published files","published output docs/evidence/sc14-mse-report.pdf","Pass","file exists","present","docs/evidence/sc14-mse-report.pdf",""
"published files","published output docs/sc14/technical-paper.html","Pass","file exists","present","docs/sc14/technical-paper.html",""
"published files","published output docs/sc14/technical-paper.pdf","Pass","file exists","present","docs/sc14/technical-paper.pdf",""
"published files","published output docs/sc14/review-response.html","Pass","file exists","present","docs/sc14/review-response.html",""
"published files","published output docs/sc14/review-response.pdf","Pass","file exists","present","docs/sc14/review-response.pdf",""
"published files","published output docs/governance/release-check.html","Pass","file exists","present","docs/governance/release-check.html",""
"published files","published output docs/data/release/sc14-run-index.csv","Pass","file exists","present","docs/data/release/sc14-run-index.csv",""
"published files","published output docs/data/release/sc14-file-list.csv","Pass","file exists","present","docs/data/release/sc14-file-list.csv",""
"published files","published output docs/data/release/sc14-check-results.csv","Pass","file exists","present","docs/data/release/sc14-check-results.csv",""
"published files","published output docs/data/release/sc14-check-results.json","Pass","file exists","present","docs/data/release/sc14-check-results.json",""
"published files","superseded filenames are not presented as current","Pass","none","none","release/sc14-mse-2026-rc1.yml","Historical references may remain, but they must be labelled as replaced."
