"category","path","bytes","sha256"
"public-page-source","doc/application/slick.qmd",12620,"6d457eabd62437dc7e14c40142df495b4492b670d9b2440f67ce79d9d344c62b"
"release-check","R/prepare_sc14_release.R",3996,"538c316aa18e1a6e34ecc2e2db9ce4b0d054929e8ca4f402c4533b0557bf5bed"
"release-check","R/check_sc14_release.R",20875,"8b54ad7632f36c18df46050e3894064b38a169e47d4f5d3db6510090978b5464"
"release-check","R/render_sc14_release.R",999,"12f3f14fa5fad00b210f39a786a18ffb1be0b265f5bc81ec2d665f0b2356c246"
"release-check","doc/governance/release-check.qmd",3400,"6b4209af056b4fdc6b55804d82d7a33d47ab385ef65270974860884f2c893344"
"published-paper","docs/sc14/index.html",63411,"4f6c9a334f4cc48d3310c77565e804028f502d62e5dd5b903ad7b2ccdb52c8de"
"published-paper","docs/sc14/index.pdf",20245,"c8477012c48e5616715cf4dad1b7d7d6194741fc5335284c0a08ba527cb5b9f0"
"published-paper","docs/sc14/decision-paper.html",83485,"af0ff6061e061d4646ed6c21c93a3d179db36c73b0d78b9dfffdc93995a49758"
"published-paper","docs/sc14/decision-paper.pdf",29054,"c15c13dba1b91f9131a0f97dab4b3a95dbb9b5d14606d3db63b03a20b44232fb"
"published-paper","docs/evidence/sc14-mse-report.html",337035,"f066641072df71152edfb38bd24ef4b716cae2f4060d5a10bdb30ee70febba8b"
"published-paper","docs/evidence/sc14-mse-report.pdf",3872486,"5fa557eec550f52b9e27ebc60c481967667f610543f0ba1fbbeec5238fb0f9df"
"published-paper","docs/sc14/technical-paper.html",80280,"7291fa5393be8cc0823a6e7253135d28791a5ffb67478445ed99919d3cac4c2d"
"published-paper","docs/sc14/technical-paper.pdf",29134,"fafcf1f08bdd2a23f8e6cb3fecf357048adc0faa67cffaa41d3ecc4836944027"
"published-paper","docs/sc14/review-response.html",77670,"d02e961cecbafe8daf7c665339e015d2de3b6d5b9c015f468c623f2d2f3f45bf"
"published-paper","docs/sc14/review-response.pdf",26427,"cedee2392154dc686e719bb0b382f645dfb69266ae3859372a00501c2d969d71"
"published-page","docs/cmp/index.html",77224,"dd0137e8fa3d0d364306939abdaddb1e1fcbca3fac9e32147a4a8d366d95bcf3"
"published-page","docs/cmp/mp29.html",61632,"d7996a92b764f5c7113d5515e1e39beabf7ad62dd15012a3c6c342cc16e5173b"
"published-page","docs/cmp/mp32.html",61321,"df0f9ddbf2790109b7066d78ce0847ebb9cedc59efb4c0420712ed48ab084332"
"published-page","docs/cmp/mp43.html",53127,"15841e3f364deab85fda1e6dc0a9d29a7103a6dd3d7660f15df5bf114f035689"
"published-page","docs/cmp/mp44.html",53407,"bff1a856de8244d3749d9eea5a9b0465252c45482fafdea2ee7f8719f5cbf4c5"
"published-page","docs/application/annual-workflow.html",57752,"108687533294be0bb3dae4727fed6aaca695b2ff8e21feabb456bd425424a4fb"
"published-page","docs/application/input-data.html",50351,"b46c6e64105ad55ee7371bc0517a1bb904e8d88460c603096e31037dc302657c"
"published-page","docs/application/tac-2027.html",160837,"fb0460e0b4767a5ad34e57cfec6541dc03d4fe138ca9fc108dfa097af3973f36"
"published-page","docs/application/slick.html",115271,"9d260947ae5e119a1fe0d4f54ce4e7d94b022a5b9056cdffb1a204c76af32268"
"published-page","docs/governance/traceability.html",61414,"6446c7a1af30751e8dc1a9cda1912fb6aec8f2428ec10256bf863eb7cb2dad12"
